timestamp,Please enter your uNID
12/22/21 8:30,u1325280
12/22/21 8:34,u0960178
12/22/21 8:30,u1150424
12/22/21 8:45,u1149181
12/22/21 8:59,u1169279
12/22/21 9:00,u1386221
12/22/21 9:00,u1377551
12/22/21 9:00,u1157521
12/22/21 9:14,u0822319
12/22/21 9:14,u1252970
12/22/21 9:15,u1328428
12/22/21 9:59,u1107676
12/22/21 10:05,u1296470
12/22/21 10:08,u1033387
12/22/21 10:30,u0960178
12/22/21 10:50,u1310578
12/22/21 10:59,u1225638
12/22/21 11:00,u1048876
12/22/21 11:04,u1331478
12/22/21 11:19,u0989405
12/22/21 11:50,u0960178
12/22/21 12:07,u1117393
12/22/21 12:42,u1325280
12/22/21 12:58,u1106210
12/22/21 13:03,u1386221
12/22/21 13:07,u1304655
12/22/21 13:09,u1157521
12/22/21 13:23,u1163383
12/22/21 13:32,u1349666
12/22/21 13:36,u1107676
12/22/21 13:59,u1386221
12/22/21 13:59,u1107937
12/22/21 14:01,u1107676
12/22/21 14:04,u1321262
12/22/21 14:04,u1328428
12/22/21 14:07,u1201293
12/22/21 14:18,u0657601
12/22/21 14:19,u0960178
12/22/21 14:44,u1224112
12/22/21 15:00,u1225638
12/22/21 15:01,u1181628
12/22/21 15:02,u1169279
12/22/21 15:38,u1212744
12/22/21 15:41,u1258566
12/22/21 15:56,u1101082
12/22/21 16:01,u0628352
12/22/21 16:02,u0911145
12/22/21 16:04,u1331478
12/22/21 16:08,u0822319
12/22/21 16:41,u1252970
12/22/21 16:43,u1033387
12/22/21 17:01,u1167325
12/22/21 17:01,u1224112
12/22/21 17:02,u1208522
12/22/21 17:03,u1310578
12/22/21 17:05,u0989405
12/22/21 17:05,u1107676
12/22/21 17:08,u1150424
12/22/21 17:51,u1377551
12/22/21 17:59,u1149181
12/22/21 18:00,u1386221
12/22/21 18:05,u1377998
12/22/21 18:42,u1321262
12/22/21 22:00,u0911145
12/23/21 7:03,u1296470
12/23/21 7:05,u1201293
12/23/21 7:27,u1258566
12/23/21 7:55,u6004654
12/23/21 7:55,u1117393
12/23/21 7:55,u1377998
12/23/21 7:59,u1208522
12/23/21 8:00,u1109053
12/23/21 8:00,u1101082
12/23/21 8:01,u1106210
12/23/21 8:02,u1212744
12/23/21 8:05,u1310578
12/23/21 8:06,u1163383
12/23/21 8:10,u1358259
12/23/21 8:17,u0657601
12/23/21 8:30,u1325280
12/23/21 8:34,u1107937
12/23/21 8:58,u1328428
12/23/21 8:58,u1304655
12/23/21 8:58,u1386221
12/23/21 8:59,u1169279
12/23/21 9:01,u1014558
12/23/21 9:04,u0822319
12/23/21 9:10,u1107676
12/23/21 9:16,u1377551
12/23/21 9:30,u1252970
12/23/21 10:59,u1225638
12/23/21 11:00,u1101082
12/23/21 11:00,u1296470
12/23/21 11:03,u1252970
12/23/21 11:34,u0989405
12/23/21 11:40,u1109053
12/23/21 11:47,u1258566
12/23/21 12:00,u1310578
12/23/21 12:05,u1106210
12/23/21 12:17,u1117393
12/23/21 12:43,u1328428
12/23/21 13:00,u1169279
12/23/21 13:00,u1048876
12/23/21 13:01,u1386221
12/23/21 13:59,u1386221
12/23/21 14:02,u0657601
12/23/21 14:06,u1014558
12/23/21 14:35,u1377551
12/23/21 14:45,u1107937
12/23/21 14:53,u1033387
12/23/21 14:59,u1358259
12/23/21 15:05,u1377998
12/23/21 15:09,u1208522
12/23/21 15:39,u1212744
12/23/21 15:59,u0911145
12/23/21 16:00,u1386221
12/23/21 17:16,u1048876
12/23/21 18:05,u1068655
12/23/21 19:39,u1033387
12/23/21 20:55,u0989405
12/23/21 22:00,u0911145
12/27/21 6:55,u1181628
12/27/21 7:51,u1048876
12/27/21 7:58,u1109053
12/27/21 7:59,u1208522
12/27/21 8:00,u1106210
12/27/21 8:52,u0657601
